accuracy,loss,val_accuracy,val_loss,learning_rate
0.24480712413787842,1.8273413181304932,0.1484375,1.8133199214935303,4.999999873689376e-05
0.34371909499168396,1.6134158372879028,0.18359375,1.8318520784378052,4.999999873689376e-05
0.4020771384239197,1.5291529893875122,0.1953125,1.8652929067611694,4.999999873689376e-05
0.40059345960617065,1.4684491157531738,0.14453125,1.9093208312988281,4.999999873689376e-05
0.3986152410507202,1.4627426862716675,0.17578125,1.977374792098999,2.499999936844688e-05
0.41889217495918274,1.421791434288025,0.16796875,1.8904566764831543,2.499999936844688e-05
0.4183976352214813,1.412257194519043,0.203125,1.7907605171203613,2.499999936844688e-05
0.43175074458122253,1.3861610889434814,0.203125,1.7088594436645508,2.499999936844688e-05
0.43125617504119873,1.380780816078186,0.234375,1.6399568319320679,2.499999936844688e-05
0.44609296321868896,1.3498228788375854,0.2578125,1.6134164333343506,2.499999936844688e-05
0.4411473870277405,1.3525820970535278,0.3046875,1.5569567680358887,2.499999936844688e-05
0.41889217495918274,1.3558493852615356,0.35546875,1.4952425956726074,2.499999936844688e-05
0.44609296321868896,1.344017744064331,0.3359375,1.4946836233139038,2.499999936844688e-05
0.4470821022987366,1.332005500793457,0.3828125,1.4653215408325195,2.499999936844688e-05
0.4554896056652069,1.3303654193878174,0.37109375,1.4507595300674438,2.499999936844688e-05
0.459940642118454,1.3209565877914429,0.3515625,1.4624494314193726,2.499999936844688e-05
0.45252224802970886,1.3232791423797607,0.37890625,1.439601182937622,2.499999936844688e-05
0.4624134600162506,1.2935210466384888,0.39453125,1.4195241928100586,2.499999936844688e-05
0.4797230362892151,1.2974274158477783,0.40234375,1.3805172443389893,2.499999936844688e-05
0.4663699269294739,1.2966110706329346,0.3984375,1.4057809114456177,2.499999936844688e-05
0.4668644964694977,1.2798067331314087,0.40234375,1.3996000289916992,2.499999936844688e-05
0.4807121753692627,1.2816200256347656,0.40234375,1.3828457593917847,2.499999936844688e-05
0.4732937812805176,1.2768362760543823,0.375,1.400008201599121,1.249999968422344e-05
0.4980217516422272,1.2723654508590698,0.375,1.4188886880874634,1.249999968422344e-05
0.49653807282447815,1.2509288787841797,0.3984375,1.404684066772461,1.249999968422344e-05
