class,precision,recall,f1,support
cardboard,0.90625,0.8529411764705882,0.8787878787878787,34
glass,0.7096774193548387,0.8627450980392157,0.7787610619469026,51
metal,0.8214285714285714,0.5609756097560976,0.6666666666666667,41
paper,0.8676470588235294,0.9672131147540983,0.9147286821705426,61
plastic,0.7916666666666666,0.8444444444444444,0.8172043010752689,45
trash,1.0,0.6470588235294118,0.7857142857142858,17
