class,precision,recall,f1,support
cardboard,0.5869565217391305,0.7941176470588235,0.675,34
glass,0.45614035087719296,0.5531914893617021,0.5,47
metal,0.7391304347826086,0.40476190476190477,0.523076923076923,42
paper,0.5517241379310345,0.8,0.6530612244897959,60
plastic,0.6388888888888888,0.46,0.5348837209302325,50
trash,0.0,0.0,0.0,16
