class,precision,recall,f1,support
cardboard,0.6428571428571429,0.6,0.6206896551724138,30
glass,0.07692307692307693,0.0196078431372549,0.03125,51
metal,0.7,0.14893617021276595,0.24561403508771928,47
paper,0.8888888888888888,0.27586206896551724,0.42105263157894735,58
plastic,0.28125,0.8372093023255814,0.4210526315789473,43
trash,0.25,0.65,0.3611111111111111,20
