class,precision,recall,f1,support
cardboard,0.8857142857142857,0.8857142857142857,0.8857142857142857,35
glass,0.6415094339622641,0.6938775510204082,0.6666666666666666,49
metal,0.7222222222222222,0.5909090909090909,0.65,44
paper,0.8727272727272727,0.8275862068965517,0.8495575221238938,58
plastic,0.5873015873015873,0.8604651162790697,0.6981132075471699,43
trash,0.8571428571428571,0.3,0.4444444444444444,20
