accuracy,loss,val_accuracy,val_loss
0.6879327297210693,0.8273128271102905,0.55859375,1.2544015645980835
0.8456973433494568,0.4495993554592132,0.70703125,0.9157944917678832
0.8946587443351746,0.3023296296596527,0.70703125,0.8761423826217651
0.9248269200325012,0.2148757576942443,0.72265625,0.7908212542533875
0.93916916847229,0.1758616417646408,0.71875,1.0215805768966677
0.9594460725784302,0.1340573281049728,0.75,0.8956119418144226
0.9653807878494264,0.108376607298851,0.76953125,0.6877158284187317
0.9742828607559204,0.0897532328963279,0.74609375,0.9124428033828736
0.97230464220047,0.0811213031411171,0.796875,0.7206234931945801
0.9787338972091676,0.0735159739851951,0.80859375,0.6641027331352234
